danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
59,0.673,0.754,4,-6.341,1,0.0264,0.657,0.0258,0.125,0.695,117.989,207510,4,1
60,0.655,0.65,7,-7.795,1,0.0285,0.336,0.0636,0.144,0.713,137.938,267922,4,1
61,0.28,0.315,7,-12.176,1,0.0321,0.923,0.00114,0.0998,0.573,189.067,186862,4,1
62,0.606,0.361,4,-7.942,1,0.0294,0.67,0.000434,0.271,0.325,84.867,186412,4,1
63,0.294,0.0598,11,-13.03,1,0.0365,0.941,0.0,0.144,0.254,82.088,212212,4,1
64,0.421,0.119,5,-17.46,1,0.0304,0.989,0.146,0.101,0.218,94.016,210667,4,1
65,0.689,0.272,9,-9.35,1,0.0289,0.896,6.72e-05,0.0817,0.413,108.756,226998,4,1
66,0.636,0.555,10,-7.13,1,0.0303,0.00875,0.0487,0.144,0.316,134.96,204126,4,1
67,0.655,0.338,7,-13.26,1,0.0312,0.306,1.85e-05,0.0729,0.671,126.432,288670,4,1
68,0.675,0.219,11,-13.546,0,0.0311,0.897,0.103,0.0979,0.313,105.921,326493,4,1
69,0.538,0.417,2,-9.176,1,0.0361,0.275,0.0,0.206,0.252,115.422,177340,4,1
70,0.688,0.26,2,-13.686,1,0.0349,0.984,0.0247,0.112,0.443,102.935,237867,4,1
71,0.551,0.452,9,-6.51,0,0.0238,0.743,2.03e-05,0.177,0.107,97.95,328120,3,1
72,0.706,0.109,9,-14.592,1,0.0312,0.869,5.53e-05,0.298,0.243,103.927,278611,4,1
73,0.585,0.233,10,-15.949,1,0.028,0.892,0.000611,0.114,0.481,140.666,267133,4,1
74,0.557,0.616,10,-8.938,1,0.0387,0.559,8.04e-05,0.0812,0.471,86.802,223400,4,1
75,0.36,0.0932,10,-19.422,1,0.0345,0.931,0.000747,0.0855,0.328,175.108,223587,3,1
76,0.729,0.344,10,-9.541,0,0.0395,0.138,0.00107,0.134,0.543,142.13,202160,4,1
77,0.332,0.234,10,-11.823,1,0.0277,0.793,0.00375,0.187,0.256,93.992,178640,3,1
78,0.608,0.152,7,-20.989,0,0.172,0.836,0.0,0.182,0.472,120.834,127453,4,1
79,0.417,0.686,7,-6.484,1,0.0373,0.0955,0.0287,0.0989,0.625,204.113,189293,4,1
80,0.609,0.295,7,-14.933,1,0.0328,0.176,1.86e-06,0.0859,0.279,108.976,134040,4,1
81,0.355,0.0817,9,-17.462,1,0.0443,0.982,0.0017,0.102,0.108,148.672,95000,4,1
82,0.474,0.213,11,-11.677,1,0.028,0.853,3.1e-06,0.241,0.353,84.962,222705,4,1
83,0.596,0.769,8,-8.033,1,0.0368,0.126,0.924,0.221,0.334,134.887,163292,4,1
84,0.588,0.613,2,-9.656,1,0.0396,0.369,0.0422,0.107,0.185,119.536,258333,4,1
85,0.447,0.341,2,-9.769,1,0.0457,0.806,2.05e-06,0.686,0.371,138.969,175120,4,1
86,0.441,0.283,0,-11.039,0,0.0744,0.738,0.0,0.156,0.389,76.026,204000,3,1
87,0.658,0.598,7,-5.32,1,0.027,0.667,8.65e-05,0.372,0.471,126.911,172747,4,1
88,0.374,0.585,8,-9.436,1,0.054,0.748,0.0,0.821,0.654,176.859,179720,4,1
89,0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,183533,4,1
90,0.525,0.311,0,-8.589,1,0.0713,0.817,0.0,0.0784,0.19,126.571,322180,4,1
91,0.626,0.31,11,-15.987,1,0.161,0.879,0.0,0.643,0.225,60.285,75672,4,1
92,0.464,0.199,2,-10.306,1,0.0279,0.945,0.0152,0.114,0.186,92.004,248067,4,1
93,0.621,0.6,2,-9.943,1,0.0295,0.566,0.00181,0.0792,0.528,111.011,162080,4,1
94,0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,224947,4,1
95,0.449,0.582,6,-9.434,1,0.0622,0.759,0.074,0.136,0.511,118.403,254653,4,1
96,0.653,0.507,7,-11.048,0,0.0447,0.486,0.000195,0.151,0.487,139.994,158338,4,1
97,0.641,0.101,0,-14.288,1,0.0396,0.941,2.21e-06,0.377,0.217,98.596,150187,4,1
98,0.574,0.214,1,-13.008,1,0.0352,0.944,0.0,0.154,0.553,79.996,149987,4,1
99,0.606,0.138,10,-15.427,1,0.0389,0.913,1.64e-06,0.107,0.339,77.151,195350,4,1
100,0.664,0.848,0,-7.0,1,0.0453,0.0153,0.0365,0.806,0.709,131.98,283133,4,0
